batch_size,xfer_size,delta_rate,throughput
1,64,0,0.063141
1,64,20,0.061579
1,64,40,0.044594
1,64,60,0.048355
1,64,80,0.054158
1,64,100,0.058166
1,256,0,0.060844
1,256,20,0.096735
1,256,40,0.079349
1,256,60,0.053667
1,256,80,0.034006
1,256,100,0.025659
1,1k,0,0.060023
1,1k,20,0.078077
1,1k,40,0.094171
1,1k,60,0.086400
1,1k,80,0.081928
1,1k,100,0.080180
1,4k,0,0.058901
1,4k,20,0.121780
1,4k,40,0.101154
1,4k,60,0.085743
1,4k,80,0.082597
1,4k,100,0.081163
1,64k,0,0.069317
1,64k,20,0.126191
1,64k,40,0.093679
1,64k,60,0.086116
1,64k,80,0.083116
1,64k,100,0.080633
1,512k,0,0.022373
1,512k,20,0.126931
1,512k,40,0.094518
1,512k,60,0.086210
1,512k,80,0.082547
1,512k,100,0.082327
2,64,0,0.074075
2,64,20,0.073175
2,64,40,0.044166
2,64,60,0.042555
2,64,80,0.043317
2,64,100,0.040220
2,256,0,0.065756
2,256,20,0.072625
2,256,40,0.044500
2,256,60,0.040888
2,256,80,0.039318
2,256,100,0.035985
2,1k,0,0.057125
2,1k,20,0.074137
2,1k,40,0.028766
2,1k,60,0.086271
2,1k,80,0.082549
2,1k,100,0.081614
2,4k,0,0.072859
2,4k,20,0.136968
2,4k,40,0.092300
2,4k,60,0.086773
2,4k,80,0.083904
2,4k,100,0.081187
2,64k,0,0.071858
2,64k,20,0.120996
2,64k,40,0.093692
2,64k,60,0.086020
2,64k,80,0.082815
2,64k,100,0.080973
2,512k,0,0.022226
2,512k,20,0.123199
2,512k,40,0.094046
2,512k,60,0.085757
2,512k,80,0.082932
