batch_size,xfer_size,delta_rate,throughput
1,64,20,0.509214
1,64,50,0.330880
1,64,80,0.161663
1,256,20,2.466124
1,256,50,2.457376
1,256,80,2.447987
1,1k,20,10.071183
1,1k,50,10.034846
1,1k,80,9.898799
1,4k,20,15.524078
1,4k,50,15.405497
1,4k,80,15.175197
1,64k,20,15.739922
1,64k,50,15.624670
1,64k,80,15.443729
1,512k,20,15.777490
1,512k,50,15.638499
1,512k,80,15.459695
2,64,20,0.550186
2,64,50,0.432354
2,64,80,0.348977
2,256,20,4.287208
2,256,50,3.973787
2,256,80,4.019997
2,1k,20,14.548924
2,1k,50,14.537342
2,1k,80,14.392548
2,4k,20,15.494563
2,4k,50,15.409106
2,4k,80,15.178755
2,64k,20,15.736123
2,64k,50,15.628699
2,64k,80,15.446728
2,512k,20,15.779619
2,512k,50,15.640456
2,512k,80,15.460329
4,64,20,0.579664
4,64,50,0.454079
4,64,80,0.359117
4,256,20,6.004827
4,256,50,7.091544
4,256,80,6.211262
4,1k,20,14.696680
4,1k,50,14.573290
4,1k,80,14.371402
4,4k,20,15.524800
4,4k,50,15.407240
4,4k,80,15.177765
4,64k,20,15.737984
4,64k,50,15.626545
4,64k,80,15.444832
4,512k,20,15.778247
4,512k,50,15.639277
4,512k,80,15.460510
8,64,20,0.578256
8,64,50,0.465657
8,64,80,0.360446
8,256,20,8.759777
8,256,50,9.201747
8,256,80,8.173411
8,1k,20,14.688960
8,1k,50,14.595402
8,1k,80,14.389279
8,4k,20,15.524517
8,4k,50,15.404666
8,4k,80,15.166880
8,64k,20,15.738850
8,64k,50,15.626046
8,64k,80,15.446260
8,512k,20,15.778247
8,512k,50,15.639083
8,512k,80,15.459271
16,64,20,0.603799
16,64,50,0.474176
16,64,80,0.392364
16,256,20,10.381062
16,256,50,8.660337
16,256,80,7.880847
16,1k,20,14.678233
16,1k,50,14.572568
16,1k,80,14.372932
16,4k,20,15.525535
16,4k,50,15.404512
16,4k,80,15.178658
16,64k,20,15.736943
16,64k,50,15.623241
16,64k,80,15.441541
16,512k,20,15.770818
16,512k,50,15.639987
16,512k,80,15.456768
32,64,20,0.604151
32,64,50,0.523797
32,64,80,0.392657
32,256,20,10.075694
32,256,50,10.568837
32,256,80,11.023993
32,1k,20,14.691730
32,1k,50,14.593922
32,1k,80,14.372156
32,4k,20,15.526212
32,4k,50,15.400932
32,4k,80,15.176761
32,64k,20,15.733256
32,64k,50,15.618848
32,64k,80,15.436982
32,512k,20,15.770818
32,512k,50,15.631779
32,512k,80,15.452800
64,64,20,0.604974
64,64,50,0.479214
64,64,80,0.445243
64,256,20,11.407725
64,256,50,11.212686
64,256,80,11.035192
64,1k,20,14.686163
64,1k,50,14.571130
64,1k,80,14.365929
64,4k,20,15.522182
64,4k,50,15.391081
64,4k,80,15.161046
64,64k,20,15.725728
64,64k,50,15.610442
64,64k,80,15.444335
64,512k,20,15.778380
64,512k,50,15.639248
64,512k,80,15.460409
128,64,20,0.606609
128,64,50,0.476618
128,64,80,0.393870
128,256,20,11.401477
128,256,50,11.237351
128,256,80,11.027142
128,1k,20,14.654112
128,1k,50,14.579421
128,1k,80,14.364245
128,4k,20,15.523971
128,4k,50,15.405796
128,4k,80,15.174297
128,64k,20,15.740541
128,64k,50,15.626102
128,64k,80,15.444411
128,512k,20,15.778218
128,512k,50,15.639174
128,512k,80,15.459953
